alpha (deg),Axial torque (N*m)
0,-2.1917447854679125E-13
-2.5,6.596421531579279E-11
-5,6.961569694350123E-11
-7.499999999999999,8.119949085261977E-11
-10,9.632154946285935E-11
-12.5,1.2138615538995594E-10
-14.999999999999998,1.4953725615728147E-10
-17.5,1.806650049598224E-10
-20,2.3922076890966635E-10
-22.5,3.0477516367311526E-10
-25,3.3500120635733966E-10
-27.5,3.881869490959269E-10
-29.999999999999996,4.325875963670701E-10
-32.5,4.626642084396531E-10
-35,5.142620087175236E-10
-37.5,5.476447475825643E-10
-40,5.676791938208892E-10
-42.5,6.491413485727976E-10
-45,6.669998517507219E-10
-47.5,7.88512066692803E-10
-50,8.562373347429371E-10
-52.50000000000001,9.717877033126943E-10
-55,1.0271105458155697E-9
-57.5,1.198030048398198E-9
-59.99999999999999,1.1311083268009717E-9
-62.50000000000001,1.2524029932049245E-9
-65,1.4440645595164121E-9
-67.5,1.5001792293910736E-9
-70,1.5634160934743289E-9
-72.5,2.2793126682120195E-9
-75,1.956746710740638E-9
-77.5,1.9126708442964842E-9
-80,1.5732992826440829E-9
-82.5,1.5626420118533033E-9
-85,1.3430456264618352E-9
-87.5,7.840004376793431E-10
-90,4.278285360976531E-10
